"RUETRI","RUE","NORUED","NORUEF","PAIRIM","CDETABM"
"APHRODITE           ","Passerelle Aphrodite                                            ",1,99999,"I","Ecole Maternelle ARISTOTE                                   "
"APHRODITE           ","Passerelle Aphrodite                                            ",2,99998,"P","Ecole Maternelle ARISTOTE                                   "
"APHYLLANTES         ","Rue des Aphyllantes                                             ",1,99999,"I","Ecole Maternelle Anne FRANK                                 "
"APHYLLANTES         ","Rue des Aphyllantes                                             ",2,99998,"P","Ecole Maternelle Anne FRANK                                 "
"APOLLINAIRE         ","Square Guillaume Apollinaire                                    ",1,99999,"I","Ecole Maternelle Jules MICHELET                             "
"APOLLINAIRE         ","Square Guillaume Apollinaire                                    ",2,99998,"P","Ecole Maternelle Jules MICHELET                             "
"APOTHICAIRES        ","Avenue des Apothicaires                                         ",1,739,"I","Ecole Maternelle Agrippa d'AUBIGNE                          "
"APOTHICAIRES        ","Avenue des Apothicaires                                         ",2,738,"P","Ecole Maternelle Agrippa d'AUBIGNE                          "
"APOTHICAIRES        ","Avenue des Apothicaires                                         ",740,99998,"P","Ecole Maternelle Marguerite YOURCENAR                       "
"APOTHICAIRES        ","Avenue des Apothicaires                                         ",741,99999,"I","Ecole Maternelle Marguerite YOURCENAR                       "
