"CAR_NUM,C,50","CAR_LIEU,C,254","SON_NIVEAU,C,50","Coord_X,C,50","Coord_Y,C,50"
107,Jeu De Paume / André Michel,Aucun,"3,87425986721038","43,6073922359913"
317,Lodève / Saint Louis / Pellicier,Aucun,"3,86696175072679","43,6090622494831"
316,Gambetta / Daru / Figuerolles,Aucun,"3,86864412199748","43,6082304003026"
315,Gambetta / Raffinerie,Aucun,"3,86984390953689","43,6076259782234"
314,Gambetta / Soldats,Aucun,"3,87078394834599","43,6071512808687"
410,Chaptal / Toiras,Aucun,"3,87118161877619","43,6056688822679"
313,Gambetta / Marceau,Aucun,"3,87215295896976","43,606411971349"
312,Gambetta / André Michel,Aucun,"3,87350186090089","43,6057547540537"
105,Henry IV / Saint Jaumes,Partiel,"3,87227194748613","43,6120106163902"
110,Place Giral / Vialleton,Aucun,"3,87224244391298","43,6109442455752"
614,Lodève / Tour Buffel,Aucun,"3,85827907008754","43,6104855819976"
604,Nîmes / Reine D'Italie,Aucun,"3,8921565217115","43,6234950768572"
603,Nîmes / Sauret / Val Marie,Partiel,"3,88841778312078","43,6191254594309"
600,Pépinière / Salicate / Pradiers,Partiel,"3,89206255732846","43,6149299849959"
102,Verdanson / Villefranche,Partiel,"3,87910416637412","43,6152576657858"
100-1,Place Du 11 Novembre,Partiel,"3,8831906600512","43,6147600283438"
324,Louis Blanc / Vernières / Bonne Nouvelle,Aucun,"3,88062085217074","43,6140973921326"
103,Verdanson / Ferdinand Fabre,Aucun,"3,87762578303622","43,6153358770244"
